,categoryId,channelId,channelTitle,commentCount,description,dislikeCount,likeCount,publishedAt,title,vidId,viewCount
0,28,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,7090,"This is not a great smartphone. Avoid this smartphone.
V Mobile N8-N - https://amzn.to/2ItrldF

WATCH SOME MORE VIDEOS...

The Best Selling 4K TV On Amazon...
https://youtu.be/zG1D90UefzM

The Futuristic Bone Conduction Sunglasses
https://youtu.be/uUG1_OAr7Tw

The Weirdest Gadget On Amazon...
https://youtu.be/z37LPoMCRcI

The World's Thinnest Mechanical Keyboard
https://youtu.be/-tZaqcLasFs

Nike Adapt BB Unboxing - Futuristic Self Lacing Sneakers
https://youtu.be/hViOYZVMiWs

They Call It An Invisible Laptop Stand...
https://youtu.be/STnS1AwPgxg

The Most Insane $40,000 Gaming Setup
https://youtu.be/Nd33S6C4lwc

Galaxy S10 Pricing Revealed - This could be a problem.
https://youtu.be/QOoJhMuhhWU

Unboxing The $1300 Bluetooth Speaker
https://youtu.be/IJue4uVwVoo

Dave2D Says Don't Buy These Laptops
https://youtu.be/EAOdW4SjcyI

Lose Weight Without Exercise
https://youtu.be/K76L9TWdfh0

OnePlus Beats iPhone In India
https://youtu.be/jdXQZW8qgrs

The Flashiest Smartphone Ever...
https://youtu.be/P87s4drAMrA

Don't Make This AirPods Mistake...
https://youtu.be/5a8m6IllczM

The Best Selling Wireless Speaker On Amazon
https://youtu.be/N826TtJWxu4

Your iPhone Has Been Compromised.
https://youtu.be/5AfKTICV2aQ

Is This Laptop Too ""Extreme""?
https://youtu.be/dTCcegIiKXE

MKBHD Picks The Best Smartphone Camera
https://youtu.be/h2whiFy6aBY

Check Out The Back Of This Smartphone
https://youtu.be/2cQksMzOIYI

The iPhone XI Smartphone Powered Laptop
https://youtu.be/I0u_pyaqGwY

The Top Wireless Earbuds On Amazon Are Only $17
https://youtu.be/dTLmJWqZY1Q

Does MKBHD Like The Xiaomi Folding Phone?
https://youtu.be/HolBPRcf8C8

You Guys Asked For Weird Gadgets...
https://youtu.be/R0lbCetv4Xw

The World's Smallest Bluetooth Speaker
https://youtu.be/F0u-n3yNtpE

It's The Best Selling Smartphone On Amazon... But Why?
https://youtu.be/tfUbcks-87M

I'm Switching To The OnePlus 6T...
https://youtu.be/vC6b8kLpUXc

Is The iPhone Smart Battery Case Worth The Price?
https://youtu.be/UjJ33OhPDcQ

I've got some bad news.
https://youtu.be/4QDsqWkUvXQ

Switching To iPhone Could Save Your Life...
https://youtu.be/7WN0iLDqulM

This Is Not A Laptop...
https://youtu.be/WA-ugf9rmMg

Could This Actually Be The iPhone 11?
https://youtu.be/_hRDknrbpIQ

Cancel  Save changes Can You Spot The Hidden Tech?
https://youtu.be/9wJGk99X-mc

The Foldable Smartphone You Can Buy Right Now
https://youtu.be/mgmgLmRBbUg

Apple Airpods Buyers Need To See This!
https://youtu.be/VSHzXsE_zN4

The Redmi Note 7 Could Be Smartphone Value Champion
https://youtu.be/mwiemk1pG_k

A Different Kind Of Smartphone...
https://youtu.be/lgl7PJxY6y8

Humans Are Physically Attacking Self-Driving Cars
https://youtu.be/We5jOR8djAY

Here's What A $5500 Smartphone Looks Like...
https://youtu.be/_Bs6F8jEuQM

The Samsung Galaxy M Will Have A Radical Price
https://youtu.be/pzb38YFnv30

The Most Minimalist Phone
https://youtu.be/0lZDDyAgnWs

The iPhone Will Be Made In India... But Why?
https://youtu.be/1oMJRjY_uoM

The iPad Pro Is Bending. I'm Not Happy.
https://youtu.be/QmV-HMwDueg

Can You Spot The Notch?
https://youtu.be/ykib2NjKtA0

The Best Noise Cancelling Headphones... Bose or Sony?
https://youtu.be/cRNqVGfy2O4

This Is Not A Flamethrower...
https://youtu.be/Hz6aQ7bRL8s

BUYER BEWARE
https://youtu.be/3GuJBolxAwk

Is It A Smartphone Or Is It A Laptop?
https://youtu.be/IpDoh7xYGjo

The Palm Phone actually fits in your palm
https://youtu.be/VToUrMnqKV4

They Sent A Special OnePlus 6Tâ€¦
https://youtu.be/GFqGRjXGluY

Is The Surface Go A Real Computer?
https://youtu.be/wRABdjtkzsY

My Next Smartphone May Surprise You...
https://youtu.be/g25StPrw624

Wait... This Headset Does WHAT?
https://youtu.be/PCATqsHc7oE

The Truth About The iPad Pro...
https://youtu.be/JXqou3SVbMw

Youâ€™ve Never Seen A Smartphone Like Thisâ€¦
https://youtu.be/zpuy3vjdVNQ

The Mind Bending 77-inch Wallpaper TV
https://youtu.be/tjedpFHFKhY

The Craziest Smartphone Yet...
https://youtu.be/tZsiEfnOp30

Can The Google Pixel Slate Beat The iPad Pro?
https://youtu.be/lccvHF4ODNY

Is The Huawei Mate 20 Pro As Good As They Say?
https://youtu.be/peYgzUIOUp8

Is Nokia Back?
https://youtu.be/mXjZMleiJZs

Iâ€™m quitting computers
https://youtu.be/w3oRJeReP8g

Is The Surface Laptop 2 The Perfect Laptop?
https://youtu.be/Ht2L6wSEjHQ

The Enormous Microsoft Surface Studio 2
https://youtu.be/YZ489u3w7i0

The Incredible Dual Screen Smartphoneâ€¦
https://youtu.be/hcDrGYyemDw?list=PL7...

Is The iPad Pro Worth Laptop Money?
https://youtu.be/FGJWE_qcOAM?list=PL7...

Is This The Best Laptop For Most People?
https://youtu.be/8eMdpKwEvRw?list=PL7...

Unboxing Every iPhone XR
https://youtu.be/u_MmxV2vNs8?list=PL7...

FOLLOW ME IN THESE PLACES FOR UPDATES
Twitter - http://twitter.com/unboxtherapy
Facebook - http://facebook.com/lewis.hilsenteger
Instagram - http://instagram.com/unboxtherapy",2233,74072,2019-02-15T15:44:36.000Z,This Is The Worst Smartphone.,a1Zv83PL9XQ,2985290
1,28,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,5823,"Namaskaar Dosto, yeh ek bahut hi khaas video hai ek brand new series ki jaha maine aapse baat ki hai 2018 ke Top Smartphones ke baare mein alag alag categories mein. Yaha is video mein maine aapse baat ki hai 2018 ke Top 5 Worst Phones ke baare mein aur discuss kiya hai ki yeh phones kaunse hai aur kyu yeh is list ka hissa hai. Is saal hume India mein bahut se acche phones dekhne ko mile aur yaha pe is list mein sirf 5 phones ko shamil kiya hai but iske alawa bhi kaafi acche phones market mein hai. Yaha iPhone Xr se Vivo V9 aur Moto G6 Plus se lekar Blackberry Evolve tak bahut se phones shamil hai. Mujhe umeed hai ki aapko 2018 ke Top 5 Innovative phones ka yeh video pasand aayega. 


Share, Support, Subscribe!!!
Subscribe: http://bit.ly/1Wfsvt4
Android App: https://technicalguruji.in/app
Youtube: http://www.youtube.com/c/TechnicalGuruji 
Twitter:  http://www.twitter.com/technicalguruji
Facebook: http://www.facebook.com/technicalguruji
Facebook Myself: https://goo.gl/zUfbUU
Instagram: http://instagram.com/technicalguruji
Google Plus: https://plus.google.com/+TechnicalGuruji
Website: https://technicalguruji.in/
Merchandise: http://shop.technicalguruji.in/

About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",2986,47590,2018-12-29T10:15:28.000Z,Top 5 Worst Phones of 2018 - TG PicksðŸ”¥ðŸ”¥ðŸ”¥,zvn73D5jNHs,814917
